season,placement,player,seed
1,1,silverr,1
1,2,doogile,15
1,3,dandannyboy,6
1,4,oxidot,4
1,5,reignex,8
1,5,moleyg,12
1,5,cropro,14
1,5,ancoboy,10
1,6,automattpl,16
1,6,pulsar,9
1,6,priffin,5
1,6,ranik,13
1,6,orachi,3
1,6,dylqn,11
1,6,lowkey,7
1,6,7rowl,2
2,1,lowkey,1
2,2,silverr,3
2,3,ancoboy,7
2,4,kw1st,12
2,5,doogile,9
2,5,dwoh,13
2,5,bigbigmongey,6
2,5,automattpl,15
2,6,cropro,16
2,6,dandannyboy,8
2,6,7rowl,5
2,6,priffin,4
2,6,emil,14
2,6,draconix,11
2,6,ranik,10
2,6,oxidot,2
3,1,priffin,5
3,2,hackingnoises,6
3,3,beefsalad,10
3,4,7rowl,1
3,5,dandannyboy,8
3,5,doogile,4
3,5,lowkey,3
3,5,oxidot,2
3,6,bloonskiller,16
3,6,automattpl,9
3,6,paplerr,12
3,6,anjouu,13
3,6,waluyoshi,14
3,6,vstrid,11
3,6,ancoboy,7
3,6,loodlow,15
4,1,lowkey,2
4,2,ancoboy,8
4,3,hackingnoises,12
4,4,vstrid,14
4,5,priffin,4
4,5,bigbigmongey,16
4,5,dandannyboy,10
4,5,automattpl,6
4,6,paplerr,11
4,6,cube,13
4,6,hinart,9
4,6,anjouu,15
4,6,7rowl,3
4,6,oxidot,7
4,6,silverr,5
4,6,doogile,1
5,1,doogile,1
5,2,hackingnoises,3
5,3,7rowl,8
5,4,ancoboy,4
5,5,lowkey,2
5,5,automattpl,6
5,5,beefsalad,7
5,5,silverr,9
5,6,oxidot,12
5,6,bigbigmongey,5
5,6,tudorule,11
5,6,vstrid,10
5,7,kenan,15
5,7,pulsar,16
5,7,dandannyboy,13
5,7,aquacorde,14
6,1,lowkey,2
6,2,doogile,1
6,3,hackingnoises,3
6,4,bigbigmongey,4
6,5,oxidot,6
6,5,feinberg,9
6,5,erik,14
6,5,beefsalad,7
6,6,7rowl,5
6,6,tudorule,13
6,6,silverr,8
6,6,dandannyboy,15
6,7,automattpl,12
6,7,mrbudgie,11
6,7,shimon,16
6,7,venfy,10
7,1,doogile,8
7,2,lowkey,2
7,3,hackingnoises,14
7,4,crimson,15
7,5,ancoboy,6
7,5,retropog,9
7,5,silverr,13
7,5,jay,10
7,6,oxidot,16
7,6,7rowl,7
7,6,beefsalad,5
7,6,priffin,11
7,6,aquacorde,12
7,6,bigbigmongey,4
7,6,feinberg,3
7,6,infume,1
8,1,hackingnoises,16
8,2,infume,2
8,3,bigbigmongey,6
8,4,aquacorde,9
8,5,vstrid,14
8,5,doogile,3
8,5,lowkey,7
8,5,darvy,12
8,6,beefsalad,10
8,6,ranik,8
8,6,kenan,13
8,6,7rowl,4
8,6,tudorule,15
8,6,silverr,5
8,6,feinberg,11
8,6,edcr,1
9,1,hackingnoises,12
9,2,doogile,3
9,3,skycrab,16
9,4,infume,2
9,5,steez,15
9,5,blazemind,10
9,5,aquacorde,4
9,5,lowkey,11
9,6,bigbigmongey,6
9,6,silverr,5
9,6,nhb,13
9,6,feinberg,8
9,6,hdmicables,14
9,6,beefsalad,9
9,6,nahan,7
9,6,edcr,1